Title;Abstract;annotator1_Label;annotator1_Explanation (optional);annotator1_evidence;annotator2_Label;annotator2_Explanation (optional);annotator2_evidence;annotator3_Label;annotator3_Explanation (optional);annotator3_evidence;annotator4_Label;annotator4_Explanation (optional);annotator4_evidence;FinalLabel;Venue;Date
Limits of Transformer Language Models on Learning Algorithmic Compositions;We analyze the capabilities of Transformer language models on learning discrete algorithms. To this end, we introduce two new tasks demanding the composition of several discrete sub-tasks. On both training LLaMA models from scratch and prompting on GPT-4 and Gemini we measure learning compositions of learned primitives. We observe that the compositional capabilities of state-of-the-art Transformer language models are very limited and sample-wise scale worse than relearning all sub-tasks for a new algorithmic composition. We also present a theorem in complexity theory, showing that gradient descent on memorizing feedforward models can be exponentially data inefficient.;5;strong focus on limited ability of LLMs to learn discrete algorithms;"""We observe that the compositional capabilities of state-of-the-art Transformer language models are very limited and sample-wise scale worse than relearning all sub-tasks for a new algorithmic composition. We also present a theorem in complexity theory, showing that gradient descent on memorizing feedforward models can be exponentially data inefficient.""";5;provides both empiric results and theoretical results on limitations of LLMs on algorithms;"""We observe that the compositional capabilities of state-of-the-art Transformer language models are very limited and sample-wise scale worse than relearning all sub-tasks for a new algorithmic composition. We also present a theorem in complexity theory, showing that gradient descent on memorizing feedforward models can be exponentially data inefficient.""";5;An evaluation paper which identifies notable challenges of transformer LMs in compositional capabilities;"""We observe that the compositional capabilities of state-of-the-art Transformer language models are very limited and sample-wise scale worse than relearning all sub-tasks for a new algorithmic composition. We also present a theorem in complexity theory, showing that gradient descent on memorizing feedforward models can be exponentially data inefficient.""";5;The limitations are clearly and strongly stated in the end and the whole paper is focussed on identifiying these limitations;"""We observe that the compositional capabilities of state-of-the-art Transformer language models are very limited and sample-wise scale worse than relearning all sub-tasks for a new algorithmic composition. We also present a theorem in complexity theory, showing that gradient descent on memorizing feedforward models can be exponentially data inefficient.""";5;arxiv;08 February 2024
An Integrative Survey on Mental Health Conversational Agents to Bridge Computer Science and Medical Perspectives;Mental health conversational agents (a.k.a. chatbots) are widely studied for their potential to offer accessible support to those experiencing mental health challenges. Previous surveys on the topic primarily consider papers published in either computer science or medicine, leading to a divide in understanding and hindering the sharing of beneficial knowledge between both domains. To bridge this gap, we conduct a comprehensive literature review using the PRISMA framework, reviewing 534 papers published in both computer science and medicine. Our systematic review reveals 136 key papers on building mental health-related conversational agents with diverse characteristics of modeling and experimental design techniques. We find that computer science papers focus on LLM techniques and evaluating response quality using automated metrics with little attention to the application while medical papers use rule-based conversational agents and outcome metrics to measure the health outcomes of participants. Based on our findings on transparency, ethics, and cultural heterogeneity in this review, we provide a few recommendations to help bridge the disciplinary divide and enable the cross-disciplinary development of mental health conversational agents.;3;meta analysis of investigating limitations in LLMs from different perspectives, focus on solving this issue;"""We find that computer science papers focus on LLM techniques and evaluating response quality using automated metrics with little attention to the application while medical papers use rule-based conversational agents and outcome metrics to measure the health outcomes of participants.""";1;mentions limitations of LLM research on mental health chatbots but not of LLMs themselves;;1;;;1;It's more like a human divide;;2;emnlp2023;December 2023
Have LLMs Advanced Enough? A Challenging Problem Solving Benchmark For Large Language Models;The performance of large language models (LLMs) on existing reasoning  benchmarks has significantly improved over the past years. In response, we  present JEEBench, a considerably more challenging benchmark dataset for  evaluating the problem solving abilities of LLMs. We curate 515 challenging  pre-engineering mathematics, physics and chemistry problems from the highly  competitive IIT JEE-Advanced exam. Long-horizon reasoning on top of deep  in-domain knowledge is essential for solving problems in this benchmark. Our  evaluation on various open-source and proprietary models reveals that the  highest performance, even after using techniques like self-consistency,  self-refinement and chain-of-thought prompting, is less than 40%. The typical  failure modes of GPT-4, the best model, are errors in algebraic manipulation,  difficulty in grounding abstract concepts into mathematical equations  accurately and failure in retrieving relevant domain-specific concepts. We also  observe that by mere prompting, GPT-4 is unable to assess risk introduced by  negative marking for incorrect answers. For this, we develop a post-hoc  confidence-thresholding method over self-consistency, which enables effective  response selection. We hope that our challenging benchmark will guide future  re-search in problem-solving using LLMs.;4;focused on limitations of LLMs and proposes benchmark to evaluate that limitations;"""Our  evaluation on various open-source and proprietary models reveals that the  highest performance, even after using techniques like self-consistency,  self-refinement and chain-of-thought prompting, is less than 40%. The typical  failure modes of GPT-4, the best model, are errors in algebraic manipulation,  difficulty in grounding abstract concepts into mathematical equations  accurately and failure in retrieving relevant domain-specific concepts. We also  observe that by mere prompting, GPT-4 is unable to assess risk introduced by  negative marking for incorrect answers.""";5;reveals a lot of limitations in reasoning based on a new benchmark;"""Our  evaluation on various open-source and proprietary models reveals that the  highest performance, even after using techniques like self-consistency,  self-refinement and chain-of-thought prompting, is less than 40%. The typical  failure modes of GPT-4, the best model, are errors in algebraic manipulation,  difficulty in grounding abstract concepts into mathematical equations  accurately and failure in retrieving relevant domain-specific concepts. We also  observe that by mere prompting, GPT-4 is unable to assess risk introduced by  negative marking for incorrect answers""";4;Explores capabilities of LLMs in more complex reasoning, identifies significant issues, but also mixes this with solutions ;"""Our  evaluation on various open-source and proprietary models reveals that the  highest performance, even after using techniques like self-consistency,  self-refinement and chain-of-thought prompting, is less than 40%. The typical  failure modes of GPT-4, the best model, are errors in algebraic manipulation,  difficulty in grounding abstract concepts into mathematical equations  accurately and failure in retrieving relevant domain-specific concepts. We also  observe that by mere prompting, GPT-4 is unable to assess risk introduced by  negative marking for incorrect answers.""";4;could also be 5, but certainly very much devoted to limitations;"""Our  evaluation on various open-source and proprietary models reveals that the  highest performance, even after using techniques like self-consistency,  self-refinement and chain-of-thought prompting, is less than 40%. The typical  failure modes of GPT-4, the best model, are errors in algebraic manipulation,  difficulty in grounding abstract concepts into mathematical equations  accurately and failure in retrieving relevant domain-specific concepts. We also  observe that by mere prompting, GPT-4 is unable to assess risk introduced by  negative marking for incorrect answers""";4;emnlp2023;December 2023
Routing to the Expert: Efficient Reward-guided Ensemble of Large Language Models;The complementary potential of Large Language Models (LLM) assumes off-the-shelf LLMs have heterogeneous expertise in a wide range of domains and tasks so that an ensemble of LLMs can achieve consistently better performance. Existing ensemble methods for LLMs mainly focus on reward model ranking of outputs, leading to significant computation overhead. To combat this issue, we revisit the complementary potential of LLMs and further elaborate on it by mining latent expertise with off-the-shelf reward models. We propose ZOOTER, a reward-guided routing method distilling rewards on training queries to train a routing function, which can precisely distribute each query to the LLM with expertise about it. We also integrate a tag-based label enhancement to mitigate noise from uncertainty when using rewards as silver supervision. ZOOTER shows computation efficiency in inference as it only introduces minor computation overhead of a routing function compared with reward model ranking methods. We evaluate ZOOTER on a comprehensive benchmark collection with 26 subsets in different domains and tasks. ZOOTER outperforms the best single model on average and ranks first on 44% of tasks, even surpassing multiple reward model ranking methods.;2;mentions computational overhead of ensembling methods as limitation to motivate new approach;"""Existing ensemble methods for LLMs mainly focus on reward model ranking of outputs, leading to significant computation overhead.""";2;efficiency as motivation;"""significant computation overhead""";2;Limitation of a method, not an LLM. Used as a reason to develop a solution;"""Existing ensemble methods for LLMs mainly focus on reward model ranking of outputs, leading to significant computation overhead.""";1;only small point about ensemble inefficiency;;2;naacl2024;June 2024
IndicGenBench: A Multilingual Benchmark to Evaluate Generation Capabilities of LLMs on Indic Languages;As large language models (LLMs) see increasing adoption across the globe, it  is imperative for LLMs to be representative of the linguistic diversity of the  world. India is a linguistically diverse country of 1.4 Billion people. To  facilitate research on multilingual LLM evaluation, we release IndicGenBench -  the largest benchmark for evaluating LLMs on user-facing generation tasks  across a diverse set 29 of Indic languages covering 13 scripts and 4 language  families. IndicGenBench is composed of diverse generation tasks like  cross-lingual summarization, machine translation, and cross-lingual question  answering. IndicGenBench extends existing benchmarks to many Indic languages  through human curation providing multi-way parallel evaluation data for many  under-represented Indic languages for the first time. We evaluate a wide range  of proprietary and open-source LLMs including GPT-3.5, GPT-4, PaLM-2, mT5,  Gemma, BLOOM and LLaMA on IndicGenBench in a variety of settings. The largest  PaLM-2 models performs the best on most tasks, however, there is a significant  performance gap in all languages compared to English showing that further  research is needed for the development of more inclusive multilingual language  models. IndicGenBench is released at  www.github.com/google-research-datasets/indic-gen-bench;4;proposes benchmark to investigate abilities of LLMs on tasks of Indic languages, concludes that the performance is worse than for english tasks. 3-4;"""however, there is a significant  performance gap in all languages compared to English showing that further  research is needed for the development of more inclusive multilingual language  models.""";3;performance gap for under-resourced languages in new benchmark;"""there is a significant  performance gap in all languages compared to English""";3;Not enough for 4 ;"""however, there is a significant  performance gap in all languages compared to English showing that further  research is needed for the development of more inclusive multilingual language  models.""";3;Or maybe 2;"""however, there is a significant  performance gap in all languages compared to English showing that further  research is needed for the development of more inclusive multilingual language  models""";3;acl2024;August 2024
Hard Gate Knowledge Distillation - Leverage Calibration for Robust and Reliable Language Model;"In knowledge distillation, a student model is trained with supervisions from both knowledge from a teacher and observations drawn from a training data distribution. Knowledge of a teacher is considered a subject that holds inter-class relations which send a meaningful supervision to a student; hence, much effort has been put to find such knowledge to be distilled. In this paper, we explore a question that has been given little attention: “when to distill such knowledge.” The question is answered in our work with the concept of model calibration; we view a teacher model not only as a source of knowledge but also as a gauge to detect miscalibration of a student. This simple and yet novel view leads to a hard gate knowledge distillation scheme that switches between learning from a teacher model and training data. We verify the gating mechanism in the context of natural language generation at both the token-level and the sentence-level. Empirical comparisons with strong baselines show that hard gate knowledge distillation not only improves model generalization, but also significantly lowers model calibration error.";2;1-2 limitations not explicitly mentioned, but used as motivation for new approach;;1;;;1;;;1;Not even sure if LLMs are discussed at all;;1;emnlp2022;December 2022
From Values to Opinions: Predicting Human Behaviors and Stances Using Value-Injected Large Language Models;Being able to predict people’s opinions on issues and behaviors in realistic scenarios can be helpful in various domains, such as politics and marketing. However, conducting large-scale surveys like the European Social Survey to solicit people’s opinions on individual issues can incur prohibitive costs. Leveraging prior research showing influence of core human values on individual decisions and actions, we propose to use value-injected large language models (LLM) to predict opinions and behaviors. To this end, we present Value Injection Method (VIM), a collection of two methods—argument generation and question answering—designed to inject targeted value distributions into LLMs via fine-tuning. We then conduct a series of experiments on four tasks to test the effectiveness of VIM and the possibility of using value-injected LLMs to predict opinions and behaviors of people. We find that LLMs value-injected with variations of VIM substantially outperform the baselines. Also, the results suggest that opinions and behaviors can be better predicted using value-injected LLMs than the baseline approaches.;1;only mentions strengths of LLMs;;2;"cost issues as motivation; implicitly also mentions issues with predicting human opinions";"""prohibitive costs""";1;;;1;;;1;emnlp2023;December 2023
Composable Text Controls in Latent Space with ODEs;Real-world text applications often involve composing a wide range of text control operations, such as editing the text w.r.t. an attribute, manipulating keywords and structure, and generating new text of desired properties. Prior work typically learns/finetunes a language model (LM) to perform individual or specific subsets of operations. Recent research has studied combining operations in a plug-and-play manner, often with costly search or optimization in the complex sequence space. This paper proposes a new efficient approach for composable text operations in the compact latent space of text. The low-dimensionality and differentiability of the text latent vector allow us to develop an efficient sampler based on ordinary differential equations (ODEs) given arbitrary plug-in operators (e.g., attribute classifiers). By connecting pretrained LMs (e.g., GPT2) to the latent space through efficient adaption, we then decode the sampled vectors into desired text sequences. The flexible approach permits diverse control operators (sentiment, tense, formality, keywords, etc.) acquired using any relevant data from different domains. Experiments show that composing those operators within our approach manages to generate or edit high-quality text, substantially improving over previous methods in terms of generation quality and efficiency.;2;;"""often with costly search or optimization in the complex sequence space.""";2;efficiency as motivation;"""costly search or optimization""";1;;;1;;;2;emnlp2023;December 2023
Denevil: Towards Deciphering and Navigating the Ethical Values of Large Language Models via Instruction Learning;Large Language Models (LLMs) have made unprecedented breakthroughs, yet their increasing integration into everyday life might raise societal risks due to generated unethical content. Despite extensive study on specific issues like bias, the intrinsic values of LLMs remain largely unexplored from a moral philosophy perspective. This work delves into ethical values utilizing Moral Foundation Theory. Moving beyond conventional discriminative evaluations with poor reliability, we propose DeNEVIL, a novel prompt generation algorithm tailored to dynamically exploit LLMs' value vulnerabilities and elicit the violation of ethics in a generative manner, revealing their underlying value inclinations. On such a basis, we construct MoralPrompt, a high-quality dataset comprising 2,397 prompts covering 500+ value principles, and then benchmark the intrinsic values across a spectrum of LLMs. We discovered that most models are essentially misaligned, necessitating further ethical value alignment. In response, we develop VILMO, an in-context alignment method that substantially enhances the value compliance of LLM outputs by learning to generate appropriate value instructions, outperforming existing competitors. Our methods are suitable for black-box and open-source models, offering a promising initial step in studying the ethical values of LLMs.;3;discusses ethical limitations of LLMs and proposes a new benchmark, but also presents a solution to deal with that issue;"""yet their increasing integration into everyday life might raise societal risks due to generated unethical content."", ""We discovered that most models are essentially misaligned, necessitating further ethical value alignment""";3;studies multiple ethical value issues with LLMs with a focus on solutions;"""societal risks due to generated unethical content"", ""LLMs' value vulnerabilities and elicit the violation of ethics in a generative manner, revealing their underlying value inclinations"", ""most models are essentially misaligned""";4;"Almost 3. But on the other hand: they aim to evaluate a known vulnerability; they explore this vulnerability with the developed algorithm. Mixed with discussion on solutions, though";"""yet their increasing integration into everyday life might raise societal risks due to generated unethical content."", ""We discovered that most models are essentially misaligned, necessitating further ethical value alignment.""";3;potentially also 4;"""might raise societal risks due to generated unethical content"", ""a novel prompt generation algorithm tailored to dynamically exploit LLMs' value vulnerabilities and elicit the violation of ethics in a generative manner"", ""We discovered that most models are essentially misaligned, necessitating further ethical value alignment""";3;arxiv;17 October 2023
A Survey on Evaluation of Large Language Models;Large language models (LLMs) are gaining increasing popularity in both  academia and industry, owing to their unprecedented performance in various  applications. As LLMs continue to play a vital role in both research and daily  use, their evaluation becomes increasingly critical, not only at the task  level, but also at the society level for better understanding of their  potential risks. Over the past years, significant efforts have been made to  examine LLMs from various perspectives. This paper presents a comprehensive  review of these evaluation methods for LLMs, focusing on three key dimensions:  what to evaluate, where to evaluate, and how to evaluate. Firstly, we provide  an overview from the perspective of evaluation tasks, encompassing general  natural language processing tasks, reasoning, medical usage, ethics,  educations, natural and social sciences, agent applications, and other areas.  Secondly, we answer the `where' and `how' questions by diving into the  evaluation methods and benchmarks, which serve as crucial components in  assessing performance of LLMs. Then, we summarize the success and failure cases  of LLMs in different tasks. Finally, we shed light on several future challenges  that lie ahead in LLMs evaluation. Our aim is to offer invaluable insights to  researchers in the realm of LLMs evaluation, thereby aiding the development of  more proficient LLMs. Our key point is that evaluation should be treated as an  essential discipline to better assist the development of LLMs. We consistently  maintain the related open-source materials at:  https://github.com/MLGroupJLU/LLM-eval-survey.;3;meta-study on how to evaluate LLMs, contains failures and limitations as well as strengths and general benchmarks;"""failure cases  of LLMs in different tasks""";2;review on evaluations with some side comments on limitations;"""failure cases  of LLMs in different tasks""";2;It is mentioned that they discuss limitations in the paper, but that's it. Also mostly limitations of evaluation are discussed;"""Then, we summarize the success and failure cases  of LLMs in different tasks.""";3;"2-3; they highlight limitations, but not as core aspect";"""but also at the society level for better understanding of their  potential risks"", ""we summarize the success and failure cases  of LLMs in different tasks""";3;arxiv;06 July 2023
Discourse-Aware Soft Prompting for Text Generation;Current efficient fine-tuning methods(e.g., adapters, prefix-tuning, etc.) have optimized conditional text generation via training a small set of extra parameters of the neural language model, while freezing the rest for efficiency. While showing strong performance on some generation tasks, they don’t generalize across all generation tasks. We show that soft-prompt based conditional text generation can be improved with simple and efficient methods that simulate modeling the discourse structure of human written text.We investigate two design choices: First, we apply hierarchical blocking on the prefix parameters to simulate a higher-level discourse structure of human written text. Second, we apply attention sparsity on the prefix parameters at different layers of the network and learn sparse transformations on the softmax-function. We show that structured design of prefix parameters yields more coherent, faithful and relevant generations than the baseline prefix-tuning on all generation tasks.;2;limitation is mentioned as motivation for new approach;"""they don’t generalize across all generation tasks""";2;generalization issues as motivation;"""they don’t generalize across all generation tasks""";2;More of a discussion about a method than an LLM itself;"""they don’t generalize across all generation tasks""";1;;;2;emnlp2022;December 2022
Score-Based Generative Modeling with Critically-Damped Langevin Diffusion;"Score-based generative models (SGMs) have demonstrated remarkable synthesis quality. SGMs rely on a diffusion process that gradually perturbs the data towards a tractable distribution, while the generative model learns to denoise. The complexity of this denoising task is, apart from the data distribution itself, uniquely determined by the diffusion process. We argue that current SGMs employ overly simplistic diffusions, leading to unnecessarily complex denoising processes, which limit generative modeling performance. Based on connections to statistical mechanics, we propose a novel critically-damped Langevin diffusion (CLD) and show that CLD-based SGMs achieve superior performance. CLD can be interpreted as running a joint diffusion in an extended space, where the auxiliary variables can be considered ""velocities"" that are coupled to the data variables as in Hamiltonian dynamics. We derive a novel score matching objective for CLD and show that the model only needs to learn the score function of the conditional distribution of the velocity given data, an easier task than learning scores of the data directly. We also derive a new sampling scheme for efficient synthesis from CLD-based diffusion models. We find that CLD outperforms previous SGMs in synthesis quality for similar network architectures and sampling compute budgets. We show that our novel sampler for CLD significantly outperforms solvers such as Euler–Maruyama. Our framework provides new insights into score-based denoising diffusion models and can be readily used for high-resolution image synthesis. Project page and code: https://nv-tlabs.github.io/CLD-SGM.";0;deals with image generation, not with LLMs;;;;;0;;;;;;0;iclr2022;April 2022
Unveiling the Implicit Toxicity in Large Language Models;The open-endedness of large language models (LLMs) combined with their impressive capabilities may lead to new safety issues when being exploited for malicious use. While recent studies primarily focus on probing toxic outputs that can be easily detected with existing toxicity classifiers, we show that LLMs can generate diverse implicit toxic outputs that are exceptionally difficult to detect via simply zero-shot prompting. Moreover, we propose a reinforcement learning (RL) based attacking method to further induce the implicit toxicity in LLMs. Specifically, we optimize the language model with a reward that prefers implicit toxic outputs to explicit toxic and non-toxic ones. Experiments on five widely-adopted toxicity classifiers demonstrate that the attack success rate can be significantly improved through RL fine-tuning. For instance, the RL-finetuned LLaMA-13B model achieves an attack success rate of 90.04% on BAD and 62.85% on Davinci003. Our findings suggest that LLMs pose a significant threat in generating undetectable implicit toxic outputs. We further show that fine-tuning toxicity classifiers on the annotated examples from our attacking method can effectively enhance their ability to detect LLM-generated implicit toxic language.;4;discusses safety issues of LLMs due to generating toxic output, mixed with technical aspects how to achieve better attacks;"""may lead to new safety issues when being exploited for malicious use."", ""we show that LLMs can generate diverse implicit toxic outputs that are exceptionally difficult to detect via simply zero-shot prompting."", ""Our findings suggest that LLMs pose a significant threat in generating undetectable implicit toxic outputs.""";;;;5;Fully focused on exploration of LLMs and implicit toxicity ;"""The open-endedness of large language models (LLMs) combined with their impressive capabilities may lead to new safety issues when being exploited for malicious use."", ""we show that LLMs can generate diverse implicit toxic outputs that are exceptionally difficult to detect via simply zero-shot prompting. Moreover, we propose a reinforcement learning (RL) based attacking method to further induce the implicit toxicity in LLMs."", ""Our findings suggest that LLMs pose a significant threat in generating undetectable implicit toxic outputs.""";;;;5;emnlp2023;December 2023
Connective Prediction for Implicit Discourse Relation Recognition via Knowledge Distillation;Implicit discourse relation recognition (IDRR) remains a challenging task in discourse analysis due to the absence of connectives. Most existing methods utilize one-hot labels as the sole optimization target, ignoring the internal association among connectives. Besides, these approaches spend lots of effort on template construction, negatively affecting the generalization capability. To address these problems,we propose a novel Connective Prediction via Knowledge Distillation (CP-KD) approach to instruct large-scale pre-trained language models (PLMs) mining the latent correlations between connectives and discourse relations, which is meaningful for IDRR. Experimental results on the PDTB 2.0/3.0 and CoNLL2016 datasets show that our method significantly outperforms the state-of-the-art models on coarse-grained and fine-grained discourse relations. Moreover, our approach can be transferred to explicit discourse relation recognition(EDRR) and achieve acceptable performance.;1;explains how LLMs can help to solve a challenging task;;;;;1;PLMs are used as means for solving a problem;;;;;1;acl2023;July 2023
CLASP: Few-Shot Cross-Lingual Data Augmentation for Semantic Parsing;A bottleneck to developing Semantic Parsing (SP) models is the need for a large volume of human-labeled training data. Given the complexity and cost of human annotation for SP, labeled data is often scarce, particularly in multilingual settings. Large Language Models (LLMs) excel at SP given only a few examples, however LLMs are unsuitable for runtime systems which require low latency. In this work, we propose CLASP, a simple method to improve low-resource SP for moderate-sized models: we generate synthetic data from AlexaTM 20B to augment the training set for a model 40x smaller (500M parameters). We evaluate on two datasets in low-resource settings: English PIZZA, containing either 348 or 16 real examples, and mTOP cross-lingual zero-shot, where training data is available only in English, and the model must generalize to four new languages. On both datasets, we show significant improvements over strong baseline methods.;2;limitation mentioned as motivation for new solution;"""however LLMs are unsuitable for runtime systems which require low latency.""";;;;2;Myabe even 1;"""LLMs are unsuitable for runtime systems which require low latency""";;;;2;aacl2022;September 2022
EmoBench: Evaluating the Emotional Intelligence of Large Language Models;"Recent advances in Large Language Models (LLMs) have highlighted the need for robust, comprehensive, and challenging benchmarks. Yet, research on evaluating their Emotional Intelligence (EI) is considerably limited. Existing benchmarks have two major shortcomings: first, they mainly focus on emotion recognition, neglecting essential EI capabilities such as emotion management and thought facilitation through emotion understanding; second, they are primarily constructed from existing datasets, which include frequent patterns, explicit information, and annotation errors, leading to unreliable evaluation. We propose EmoBench, a benchmark that draws upon established psychological theories and proposes a comprehensive definition for machine EI, including Emotional Understanding and Emotional Application. EmoBench includes a set of 400 hand-crafted questions in English and Chinese, which are meticulously designed to require thorough reasoning and understanding. Our findings reveal a considerable gap between the EI of existing LLMs and the average human, highlighting a promising direction for future research. Our code and data are publicly available at https://github.com/Sahandfer/EmoBench.";3;a new benchmark for measuring emotional intelligence is proposed, results show that LLMs are worse than humans on that task;"""Our findings reveal a considerable gap between the EI of existing LLMs and the average human,""";;;;2;Limitation is only briefly mentioned in the end as a result of developing a benchmark;"""Our findings reveal a considerable gap between the EI of existing LLMs and the average human, highlighting a promising direction for future research.""";;;;3;acl2024;August 2024
GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints;Multi-query attention (MQA), which only uses a single key-value head, drastically speeds up decoder inference. However, MQA can lead to quality degradation, and moreover it may not be desirable to train a separate model just for faster inference. We (1) propose a recipe for uptraining existing multi-head language model checkpoints into models with MQA using 5% of original pre-training compute, and (2) introduce grouped-query attention (GQA), a generalization of multi-query attention which uses an intermediate (more than one, less than number of query heads) number of key-value heads. We show that uptrained GQA achieves quality close to multi-head attention with comparable speed to MQA.;1;discusses technical details of LLMs and their advantages/disadvantages, but does not mention limitations;;;;;0;;;;;;1;emnlp2023;December 2023
Unsupervised Domain Adaptation for Sparse Retrieval by Filling Vocabulary and Word Frequency Gaps;IR models using a pretrained language model significantly outperform lexical approaches like BM25. In particular, SPLADE, which encodes texts to sparse vectors, is an effective model for practical use because it shows robustness to out-of-domain datasets. However, SPLADE still struggles with exact matching of low-frequency words in training data.In addition, domain shifts in vocabulary and word frequencies deteriorate the IR performance of SPLADE. Because supervision data are scarce in the target domain, addressing the domain shifts without supervision data is necessary. This paper proposes an unsupervised domain adaptation method by filling vocabulary and word-frequency gaps. First, we expand a vocabulary and execute continual pretraining with a masked language model on a corpus of the target domain. Then, we multiply SPLADE-encoded sparse vectors by inverse document frequency weights to consider the importance of documents with low-frequency words. We conducted experiments using our method on datasets with a large vocabulary gap from a source domain. We show that our method outperforms the present state-of-the-art domain adaptation method. In addition, our method achieves state-of-the-art results, combined with BM25.;0;not sure whether SPLADE is an LLM, limitation only mentioned as motivation. 0/2;"""However, SPLADE still struggles with exact matching of low-frequency words in training data. In addition, domain shifts in vocabulary and word frequencies deteriorate the IR performance of SPLADE.""";;;;0;About information retreival;;;;;0;aacl2022;September 2022
HSC-GPT: A Large Language Model for Human Settlements Construction;The field of human settlement construction encompasses a range of spatial designs and management tasks, including urban planning and landscape architecture design. These tasks involve a plethora of instructions and descriptions presented in natural language, which are essential for understanding design requirements and producing effective design solutions. Recent research has sought to integrate natural language processing (NLP) and generative artificial intelligence (AI) into human settlement construction tasks. Due to the efficient processing and analysis capabilities of AI with data, significant successes have been achieved in design within this domain. However, this task still faces several fundamental challenges. The semantic information involved includes complex spatial details, diverse data source formats, high sensitivity to regional culture, and demanding requirements for innovation and rigor in work scenarios. These factors lead to limitations when applying general generative AI in this field, further exacerbated by a lack of high-quality data for model training. To address these challenges, this paper first proposes HSC-GPT, a large-scale language model framework specifically designed for tasks in human settlement construction, considering the unique characteristics of this domain.;2;discusses limitations of LLMs for a very specific problem as motivation for new approach;"""These factors lead to limitations when applying general generative AI in this field, further exacerbated by a lack of high-quality data for model training.""";;;;2;Or maybe 2.5 because of how much limitations are discussed. Still not strong enough for 3, though.;"""However, this task still faces several fundamental challenges. The semantic information involved includes complex spatial details, diverse data source formats, high sensitivity to regional culture, and demanding requirements for innovation and rigor in work scenarios. These factors lead to limitations when applying general generative AI in this field, further exacerbated by a lack of high-quality data for model training.""";;;;2;arxiv;31 December 2023
Mitigating Societal Harms in Large Language Models;Numerous recent studies have highlighted societal harms that can be caused by language technologies deployed in the wild. While several surveys, tutorials, and workshops have discussed the risks of harms in specific contexts – e.g., detecting and mitigating gender bias in NLP models – no prior work has developed a unified typology of technical approaches for mitigating harms of language generation models. Our tutorial is based on a survey we recently wrote that proposes such a typology. We will provide an overview of potential social issues in language generation, including toxicity, social biases, misinformation, factual inconsistency, and privacy violations. Our primary focus will be on how to systematically identify risks, and how eliminate them at various stages of model development, from data collection, to model development, to inference/language generation. Through this tutorial, we aim to equip NLP researchers and engineers with a suite of practical tools for mitigating safety risks from pretrained language generation models.;3;mentions social issues that could arise with LLMs with focus on solving those problems;"""Numerous recent studies have highlighted societal harms that can be caused by language technologies deployed in the wild."", ""potential social issues in language generation, including toxicity, social biases, misinformation, factual inconsistency, and privacy violations.""";;;;4;Limitations (societal harms) are mentioned quite well, but they are still not the full focus;"""We will provide an overview of potential social issues in language generation, including toxicity, social biases, misinformation, factual inconsistency, and privacy violations. Our primary focus will be on how to systematically identify risks, and how eliminate them at various stages of model development, from data collection, to model development, to inference/language generation.""";;;;4;emnlp2023;December 2023
Gloss Attention for Gloss-free Sign Language Translation;Most sign language translation (SLT) methods to date require the use of gloss  annotations to provide additional supervision information, however, the  acquisition of gloss is not easy. To solve this problem, we first perform an  analysis of existing models to confirm how gloss annotations make SLT easier.  We find that it can provide two aspects of information for the model, 1) it can  help the model implicitly learn the location of semantic boundaries in  continuous sign language videos, 2) it can help the model understand the sign  language video globally. We then propose \emph{gloss attention}, which enables  the model to keep its attention within video segments that have the same  semantics locally, just as gloss helps existing models do. Furthermore, we  transfer the knowledge of sentence-to-sentence similarity from the natural  language model to our gloss attention SLT network (GASLT) to help it understand  sign language videos at the sentence level. Experimental results on multiple  large-scale sign language datasets show that our proposed GASLT model  significantly outperforms existing methods. Our code is provided in  \url{https://github.com/YinAoXiong/GASLT}.;1;emphasizes how LLMs can be used for sign language translation;;;;;0;;;;;;1;arxiv;14 July 2023
War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars;Can we avoid wars at the crossroads of history? This question has been  pursued by individuals, scholars, policymakers, and organizations throughout  human history. In this research, we attempt to answer the question based on the  recent advances of Artificial Intelligence (AI) and Large Language Models  (LLMs). We propose \textbf{WarAgent}, an LLM-powered multi-agent AI system, to  simulate the participating countries, their decisions, and the consequences, in  historical international conflicts, including the World War I (WWI), the World  War II (WWII), and the Warring States Period (WSP) in Ancient China. By  evaluating the simulation effectiveness, we examine the advancements and  limitations of cutting-edge AI systems' abilities in studying complex  collective human behaviors such as international conflicts under diverse  settings. In these simulations, the emergent interactions among agents also  offer a novel perspective for examining the triggers and conditions that lead  to war. Our findings offer data-driven and AI-augmented insights that can  redefine how we approach conflict resolution and peacekeeping strategies. The  implications stretch beyond historical analysis, offering a blueprint for using  AI to understand human history and possibly prevent future international  conflicts. Code and data are available at  \url{https://github.com/agiresearch/WarAgent}.;2;explores strengths and weaknesses of LLMs in simulating historical events;"""limitations of cutting-edge AI systems' abilities in studying complex  collective human behaviors such as international conflicts under diverse  settings.""";;;;2;It is mentioned that they study limitations, but it is not clear which. Could be even 1.;"""By  evaluating the simulation effectiveness, we examine the advancements and  limitations of cutting-edge AI systems' abilities in studying complex  collective human behaviors such as international conflicts under diverse  settings.""";;;;2;arxiv;28 November 2023
